,BREAD,EGG,CHEESE,PEACH,TOMATOES,PARMESAN,total
Lut+Zea_ (µg),74.07619047619048,1256.0,55.38461538461539,174.8181818181818,1209.4444444444443,0.0,2769.723432123432
Vit_E_(mg),0.6170149253731343,4.184864864864865,1.9344347826086954,0.7540909090909091,2.95,0.12,10.560405481937602
Vit_D_µg,0.02584615384615385,7.72972972972973,3.55076923076923,0.0,0.0,0.0,11.306345114345113
Vit_D_IU,1.0153846153846153,310.05405405405406,142.7076923076923,0.0,0.0,0.0,453.777130977131
Vit_K_(µg),5.163809523809524,13.491891891891893,12.904347826086953,5.1,44.333333333333336,1.2000000000000002,82.1933825751217
FA_Sat_(g),1.3680857142857141,14.986100000000002,69.31394399999999,0.034058823529411766,1.1185714285714285,9.33,96.15075996638654
FA_Mono_(g),2.122314285714285,18.611600000000003,32.239928,0.11655882352941177,3.7578571428571426,4.338,61.186258252100835
FA_Poly_(g),2.014099999999999,8.484499999999997,4.835264000000003,0.1543235294117647,1.7539285714285713,0.558,17.800116100840334
Cholestrl_(mg),5.937662337662338,1850.6,370.104,0.0,0.0,60.0,2286.641662337662
Gramm,120.0,400.0,560.0,150.0,500.0,300.0,2030.0
